Aron Baynes,baynear01,2014,1211,592,-3.220144685,-1.510330731,-4.730475415,0.090517205,1.529665871,1.620183076,-2.784132303,-1.053617393,-3.837749697,-0.311638669,-0.75182402,0.440185352,-3.45656291,-0.639220469,-4.095783379,0.403618274,,Aron Baynes,baynear01,2015,2360,1162,-1.704585731,1.395130678,-0.309455054,-1.45099256,2.59333269,1.14234013,-1.78577055,1.677697274,-0.108073276,1.582774432,1.752423608,-0.169649176,-2.227598075,1.687324435,-0.54027364,0.30063751,,,,,,,,,,,,,,,,,,,,,,
Arron Afflalo,afflaar01,2014,5047,2552,1.561280125,-2.637579091,-1.076298966,-0.864841142,-3.77773301,-4.642574153,1.22425804,-3.02318616,-1.79892812,1.231903915,1.231903915,0,0.411376476,-2.771831196,-2.360454719,-0.49730894,,Arron Afflalo,afflaar01,2015,5125,2562,-0.98833756,-1.912809655,-2.901147215,-0.696763769,-0.268122947,-0.964886716,-0.985917143,-1.673151448,-2.659068591,0.097940159,0.519802548,-0.421862388,-1.442768212,-1.319810011,-2.762578223,-0.674047569,,,,,,,,,,,,,,,,,,,,,,
Austin Daye,dayeau01,2014,314,154,-0.120982641,-2.551413656,-2.672396297,0.440438621,-1.941828555,-1.501389934,-0.095322482,-2.639634935,-2.734957416,-0.002301804,0.045976735,-0.04827854,0.09059479,-2.030537713,-1.939942923,-0.275441171,,Austin Daye,dayeau01,2015,707,344,-3.954524956,-0.362766504,-4.31729146,-4.141396196,-0.991107928,-5.132504125,-4.287020122,-0.568581191,-4.855601314,-0.371789442,-0.371789442,0,-3.821422294,-0.878945336,-4.70036763,0.914349071,,,,,,,,,,,,,,,,,,,,,,
Austin Rivers,riverau01,2014,2621,1339,-1.001854712,-1.227965731,-2.229820443,2.531285297,0.612521972,3.143807269,-0.326172754,-0.869934061,-1.196106815,1.043057448,1.043057448,0,-0.820936159,-1.217277348,-2.038213507,-1.67124666,,Austin Rivers,riverau01,2015,3669,1813,-1.52663937,-1.697951214,-3.224590584,-5.070370885,-0.7011323,-5.771503184,-2.417456456,-1.595853366,-4.013309822,-1.164702791,-0.96850437,-0.19619842,-1.9638076,-1.543466767,-3.507274367,-0.539226219,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,bradlav01,2014,3695,1855,-1.355111211,0.366529376,-0.988581835,0.779924513,2.81985008,3.599774593,-0.927011853,0.923869525,-0.003142328,2.609026324,2.609026324,0,-0.672180353,0.949178132,0.276997779,0.344691433,,Avery Bradley,bradlav01,2015,5230,2561,-1.504851759,-1.165156918,-2.670008677,-1.686870674,1.25930477,-0.427565904,-1.620150567,-0.736556857,-2.356707424,0.534511248,0.241094866,0.293416381,-0.912186312,-0.153916828,-1.06610314,1.022348084,,,,,,,,,,,,,,,,,,,,,,
Ben Gordon,gordobe01,2014,547,279,-5.387893514,-1.097908664,-6.485802178,-3.000830639,5.122279695,2.121449056,-5.180616494,0.106948893,-5.073667601,-0.333915595,-0.333915595,0,-5.110961564,-1.236035602,-6.346997166,0.913804415,,Ben Gordon,gordobe01,2015,1579,790,-0.974455847,-3.724412046,-4.698867893,-3.606344832,-0.033391968,-3.639736801,-1.527816225,-3.1523144,-4.680130625,-0.779323364,-0.779323364,0,-1.887090806,-4.417100717,-6.304191523,0.168721947,,,,,,,,,,,,,,,,,,,,,,
Ben McLemore,mclembe01,2014,4383,2187,-1.622045563,-3.738154485,-5.360200047,-2.552180289,-2.410232265,-4.962412554,-1.917141301,-3.663484862,-5.580626164,-3.163370421,-3.163370421,0,-2.443658571,-2.782168145,-5.225826716,0.149920141,,Ben McLemore,mclembe01,2015,5395,2670,-0.257841178,-1.689074039,-1.946915217,1.927328638,4.716306098,6.643634736,0.175815397,-0.413538751,-0.237723353,3.436960242,3.436960242,0,-0.064563212,-0.152464406,-0.217027618,0.410543385,,,,,,,,,,,,,,,,,,,,,,
Beno Udrih,udrihbe01,2014,1481,758,-0.199536607,0.110371319,-0.089165288,-1.676507635,-1.944486136,-3.620993771,-0.517050129,-0.293054967,-0.810105096,0.764400662,0.532444021,0.231956641,-0.178691229,-0.825938761,-1.004629991,-0.175601165,,Beno Udrih,udrihbe01,2015,3290,1669,0.223666776,-0.939924271,-0.716257495,-1.005302136,-0.405394033,-1.410696169,-0.027603013,-0.943032379,-0.970635392,1.503183805,1.439018979,0.064164827,-0.079168548,-0.35955812,-0.438726667,-0.956071793,,,,,,,,,,,,,,,,,,,,,,
Bernard James,jamesbe01,2014,323,154,-4.744624429,-4.874097144,-9.618721573,-3.820864294,3.044474386,-0.776389909,-4.848744076,-3.499108339,-8.347852416,-0.421425571,-0.517203476,0.095777905,-5.221807132,-4.129143232,-9.350950364,0.46726033,,Bernard James,jamesbe01,2015,326,160,0.097924359,4.992524254,5.090448613,-3.218880331,3.172900663,-0.045979669,-0.580998544,4.931246058,4.350247515,0.577492239,0.563350201,0.014142038,-1.359060191,1.579269806,0.220209615,-0.411305493,,,,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,biyombi01,2014,2174,1120,-3.30294981,1.308838829,-1.994110981,-3.516449038,0.54572467,-2.970724369,-3.519869307,1.212327557,-2.307541749,0.253612263,0.217678525,0.035933738,-4.340297025,0.030560086,-4.30973694,-0.494959199,,Bismack Biyombo,biyombi01,2015,2420,1243,-2.591992156,-0.002780448,-2.594772604,-1.33957783,1.340491752,0.000913922,-2.456140088,0.269701998,-2.186438091,0.355397052,0.355397052,0,-3.323805359,0.159724333,-3.164081026,-0.53712127,,,,,,,,,,,,,,,,,,,,,,
